hashtag,video_id,title,description,channel_title,publish_date,view_count,like_count
#shakespear,5LWzl3_bEfc,William Shakespeare Birth and Death Date | #shakespeare #williamshakespeare #shorts,"#shakespeare #shakespeareplay #english #williamblake #shakespeare #englishpoet ,#exam #shakespear #shakespearean #englishplaywright #shorts #ytshortsindia #ytshortsvideo #ytviral #yt #trending #trendingshorts #poet #poem #poetry #poetrystatus #popular #power #history #political #politicalscience #novel #dramaticmonologue #drama #geography #psychology #pychologyfacts #pyschological #hindi #hindistories #hindikahani #cbse #gk #gkquiz #generalknowledge #facts #philosophy #williamwordsworth #wordsworth #shorts #ytshortsindia #ytshortsvideo #video #viralvideo #englishpoet #shakespeare #shakespeareplay #english #williamblake #shakespeare #englishpoet ,#exam #shakespear #shakespearean #englishplaywright #shorts #ytshortsindia #ytshortsvideo #ytviral #yt #trending #trendingshorts #poet #poem #poetry #poetrystatus #popular #power #history #political #politicalscience #novel #poet #poetry  #dramaticmonologue #drama #geography #psychology #pychologyfacts #pyschological #hindi #hindistories #hindikahani #cbse #ncert #ncertsolutions #ncertscience #ncerthindi #ncertenglish #facts #interestingfacts #knowledge",StudY Life,2024-11-20T14:05:00Z,531,14
#shakespear,BAWIFsUw6yk,Shakespeare's Life Story in Minutes,"Biography of   William Shakespeare
#biography 
#William Shakespeare
#shakespeare
#englishliterature 
#englishauthor'sbiography
#englishauthor 
#englishauthor
#set
#net",PPM Rainbow,2025-08-20T12:51:53Z,125,6
#shakespear,Kk2RrMBDSCA,#shakespeare #booktube #shakespeareplay #theaterarts #postapocalyptic #bookreview,,Ted Neill,2025-09-03T04:38:39Z,604,1
#shakespear,LGPUuy2PXkQ,Shakespeare Tiyatrosu - Celal Şengör - İlber Ortaylı #shorts,"Ünlü jeolog Celal Şengör ve tarihçi İlber Ortaylı, Shakespeare tiyatrosunun önemini ve etkilerini birlikte inceliyorlar. Bu video, Shakespeare'in eserlerinin sahnelenmesinin kültürel ve sanatsal değerini ele alarak, tiyatro dünyasının tarihsel ve edebi önemini vurguluyor. İzleyin ve Shakespeare'in mirasının derinliklerine dalın!

#Shakespeare #Tiyatro #CelalŞengör #İlberOrtaylı #Kültür #Sanat #Edebiyat #TiyatroTarihi #KültürelDeğerler #shortsvideo #shorts #short #shortvideo",ShortSnippetsTV,2024-04-10T21:32:40Z,17870,385
#shakespear,_jUOKEL0Z-I,Shakespeare For Every Day Of The Year - Day 248,"Hamlet - Act 1, Scene 3

This piece contains my favourite line in all of Shakespeare: “This above all, to thine own self be true”.
It really captures the best advice to lead your life and in a way, it contains the very heart of Hamlet, as his mission throughout the play is to expose all the treachery and deceit surrounding him.

Funny then, in that it’s not actually spoken by the Dane, but by Polonius, father of Ophelia and Laertes. In this scene, Laertes is heading back to France to resume his studies (although it’s hinted he doesn’t get up to much ‘studying’ if you know what I mean….) and Polonius gives him a ‘few’ parting words of wisdom. There’s something quite touching as well as funny about this speech as any parent who’s sent their child off to college will have tried to teach them these lessons and Shakespeare shows us that Polonius is actually a caring father to his children, although sometimes care turns to controlling.

Polonius really is a brilliant part for an actor. I’ve seen many of my favourite actors give superb interpretations of him, particularly Elliot Levey in the recent RSC revival. Peter Wight, one of Britain’s best character actors was also terrific in Robert Icke’s unique take on this tragedy.
Also, I’ll never forget Stephen Mangan’s interpretation! There was a special event last year at Regent’s Park Open Air Theatre, based on this very book my challenge is based on, where an amazing cast performed a selection of pieces from the book. Mangan got Polonius, and every time Luke Thompson (playing Laertes) began to leave, he kept interrupting with yet another piece of advice.
His comic timing was impeccable!

But now….my turn! 
Hope you enjoy!


#samdoesshakespeare 
#hamlet 
#shakespeare",Sam O' sullivan,2025-09-05T13:36:13Z,402,11
#shakespear,Ypt7j8WQrvc,One of the most famous lines of Shakespeare ✨ #oldmovies #othello,#movie #classiccinema #film #ronaldcolman #classicmovies #vintage #vintagecinema #history #cinemaclassics #goldenage #shakespeare #quotes #shakespeareplay #inspirationalquotes #famousquotes,The Way to the Stars,2025-01-30T09:37:00Z,9613,133
#shakespear,mV2mbusFdl8,What is Sonnet? #viral #sonnet18 #shakespeare #short #english #ugcnet2023,"full video about Sonnet 
https://youtu.be/Uhc6mea901o

shall I compare thee line by line explanation
https://youtu.be/P4co_bAgoKM

What is Sonnet? #viral #sonnet18 #shakespeare #short #english #ugcnet2023

#sonnet
#englishliterature 
#english",My English Book,2023-03-23T06:20:05Z,264952,6282
#shakespear,wJkVwFBHSjY,Backstage with Bell Shakespeare’s Coriolanus! 🤯 #history #shakespeare #theatre,,Dr. Esme Louise James,2025-07-01T23:48:06Z,12427,1579
#shakespear,KS_6n4tXKCc,HOW DO WE KNOW HOW SHAKESPEAREAN NAMES ARE PRONOUNCED? #shakespeare #actingcoach #pronunciation,,Shakespeare Made Clear ,2025-07-26T11:51:50Z,24275,672
#shakespear,N3nd1Bu2WvY,Bollywood Movies Based On Shakespeare's Plays,"#tejostudio #infomania #infotainment #history #shakespeare #shakespeareplays #shortsfeed #shortsyoutube #shorts 

 Bollywood Movies Based On Shakespeare's Plays

Films globally can't seem to get enough of Shakespeare, and adapting a Shakespearean play into a movie can be quite challenging due to its intricate language and complex themes. Therefore, here are some Bollywood movies that have attempted to adapt the works of Shakespeare without losing their originality.",Tejo Studio,2024-07-02T14:30:08Z,2311,76
#shakespear,5V-bGUg8Lw8,#quotes #philosopher #shakespear #hamlet #learnclassics #aiimages,#famousquotes #classics #philosopher #shakespear #aiimages #hamlet a mind-bending dialogue as Hamlet and Socrates exchange profound quotes.,203LC,2024-01-17T05:48:51Z,36,1
#shakespear,EBGtiMf7r3I,#history #eyes #facts #shakespear #shakespeare #oilpainting #oillandscape #art #love,,Poetic world 🖋️📜,2024-09-22T12:00:13Z,556,0
